first_name,last_name,gender,language,race
Sigismondo,Arnke,Male,Ndebele,Osage
Jorgan,Gerauld,Male,Bislama,Asian Indian
Faun,Blondell,Female,Filipino,Venezuelan
Joaquin,Seakin,Male,Ndebele,Cambodian
Shandie,Cottisford,Female,English,Asian Indian
Hugh,Eyes,Male,Albanian,Crow
Lainey,Place,Female,Georgian,Central American
Domingo,Allgood,Male,Tamil,Asian Indian
Merrel,Buttle,Male,Aymara,Colville
Petra,Oneal,Female,Dari,Hmong
Phillis,Curuclis,Female,Arabic,Melanesian
Chicky,Betteson,Male,Filipino,Bolivian
Phillie,Colby,Female,Malay,Mexican
Powell,Carstairs,Male,Montenegrin,Crow
Stinky,Garahan,Male,Kashmiri,American Indian
Justinian,Noyes,Male,Bengali,Uruguayan
Jefferson,Tarn,Male,Estonian,Tlingit-Haida
Ludvig,Lipmann,Male,Sotho,Panamanian
Tamqrah,Hamblington,Female,Mongolian,Native Hawaiian
Lorant,O' Mulderrig,Male,Croatian,Sioux
Corrianne,Shenton,Female,Tetum,Paiute
Ron,Elvidge,Male,Danish,Alaska Native
Patty,Moogan,Female,Dari,Puerto Rican
Dorelle,Dybald,Female,Tamil,Costa Rican
Rodrique,Dory,Male,Indonesian,Osage
Andre,Gowdie,Male,Kurdish,Iroquois
Ilario,Birch,Male,Korean,Laotian
Wade,Mattiato,Male,Persian,Bolivian
Web,Besnard,Male,German,Mexican
Lauri,Pechan,Female,Spanish,Pakistani
Alexandros,Long,Male,Estonian,Lumbee
Lemmie,Wrathmell,Male,West Frisian,Alaska Native
Moses,Daggett,Male,Quechua,White
Inglis,Ximenez,Male,New Zeland,Mexican
Nissie,Gallamore,Female,Bosnian,Kiowa
Archibald,Clousley,Male,Quechua,Cambodian
Waldo,Winks,Male,Malagasy,Korean
Pollyanna,Tarver,Female,Tswana,Japanese
Wilhelmine,Sheringham,Female,Norwegian,Dominican
Marcelline,Diego,Female,Quechua,Cree
Ivar,Leas,Male,Quechua,Kiowa
Westley,Simkovich,Male,Bislama,Shoshone
Raoul,Loughney,Male,Finnish,Cuban
North,Fyndon,Male,Lao,Panamanian
Arlana,Dashper,Female,Swahili,Crow
Stephani,Readie,Female,Japanese,NHPI
Birdie,Benedicte,Female,Hindi,Tlingit-Haida
Willard,Asker,Male,Gagauz,Honduran
Pearle,Penwright,Female,French,Sri Lankan
Tedra,Wybrew,Female,Catalan,Cheyenne
Eilis,Caughey,Female,Dari,Native Hawaiian
Andre,Gowthrop,Male,Punjabi,Aleut
Rafael,Merryfield,Male,Montenegrin,Korean
Lewie,Demkowicz,Male,Marathi,Apache
Salomi,Tyers,Female,Fijian,Filipino
Letty,Allabarton,Female,Haitian Creole,Indonesian
Jammie,Nerger,Female,Luxembourgish,Aleut
Antonietta,Giannazzo,Female,Tajik,American Indian
Seline,Valance,Female,Hiri Motu,Taiwanese
Jessey,Bakesef,Male,Lao,Thai
Nola,Cornehl,Female,Dari,Venezuelan
Micky,Pendell,Male,Greek,Laotian
Ezequiel,Valance,Male,Tswana,Mexican
Ase,Adolthine,Male,Guaraní,Paiute
Lissy,Eubank,Female,Portuguese,Tongan
Tallou,Kibbey,Female,Japanese,Fijian
Susanetta,Sinkinson,Female,Māori,Ute
Michele,Pedlingham,Female,Spanish,Vietnamese
Nelia,Dast,Female,Swedish,Chickasaw
Jane,Pirolini,Female,Tamil,Uruguayan
Hugo,Whithorn,Male,Afrikaans,Chamorro
Gilberta,Shilston,Female,West Frisian,Delaware
Ferrell,Jahn,Male,Pashto,Ottawa
Wally,Gland,Female,Quechua,Navajo
Aaren,Caddan,Female,Moldovan,Tohono O'Odham
Dyanne,Blasli,Female,Swati,Micronesian
Kathye,Blackmoor,Female,Fijian,Menominee
Gunther,Hugh,Male,Kazakh,Vietnamese
Hillary,Thormwell,Male,Kannada,Central American
Skyler,Jime,Male,Dutch,Central American
Elizabeth,Craythorn,Female,Guaraní,Cherokee
Locke,Lithcow,Male,Kazakh,Colombian
Aldwin,Fleeming,Male,Irish Gaelic,Menominee
Elvin,Ainslie,Male,Greek,Creek
Yvonne,Goudge,Female,Maltese,Fijian
Genovera,Maureen,Female,Danish,Creek
Lynea,Sherreard,Female,Dzongkha,Cree
Martica,Perse,Female,Albanian,Nicaraguan
Cornelius,Tour,Male,Māori,Laotian
Gareth,Sebley,Male,New Zeland,Tongan
Frederik,O'Hannen,Male,Korean,Alaskan Athabascan
Patrick,Fiddian,Male,Georgian,White
Dallas,Stodit,Female,Ndebele,Crow
Ninnette,Higginbottam,Female,Marathi,Mexican
Timothy,Cuddy,Male,Icelandic,Tohono O'Odham
Eddy,Eykelbosch,Female,Tok Pisin,Yuman
Gail,Stife,Male,Montenegrin,Choctaw
Lory,Kloser,Female,Maltese,Delaware
Shandy,Betton,Female,Romanian,Tohono O'Odham
Karlene,Mabbott,Female,Northern Sotho,Seminole
Lonnard,Ackred,Male,Tetum,Guamanian
Tudor,Whinney,Male,German,Eskimo
Hamil,Thebe,Male,Assamese,Chippewa
Desirae,Deakin,Female,Quechua,Ottawa
Janeva,Cymper,Female,Georgian,Seminole
Cynthea,Gibbard,Female,Kannada,Kiowa
Constantia,Keach,Female,French,Cree
Knox,Danis,Male,New Zeland,African American
Symon,Finey,Male,Hiri Motu,Cree
Rosalynd,Heinecke,Female,Croatian,Hmong
Levey,Clulee,Male,Danish,Blackfeet
Aubrette,Turmall,Female,Tajik,Dominican
Sadie,Grestie,Female,Kashmiri,Uruguayan
Chickie,Leverett,Male,Māori,Pueblo
Daniel,Toplis,Male,Afrikaans,Guatemalan
Dennet,Donoher,Male,French,Tohono O'Odham
Phineas,Farris,Male,Icelandic,Venezuelan
Allie,O'Connell,Male,Tok Pisin,Spaniard
Celestina,Loveard,Female,Maltese,Cheyenne
Tynan,Demer,Male,Dhivehi,Chinese
Sonnie,Gogay,Female,Hindi,Sioux
Baxter,Rountree,Male,Oriya,Paiute
Curcio,Katte,Male,Kyrgyz,Chinese
Garnet,Odeson,Female,Portuguese,Thai
Olympe,Brunn,Female,Hiri Motu,Colombian
Gian,Tarry,Male,Kyrgyz,AIAN
Rosalinda,Domange,Female,Tsonga,AIAN
Joelly,D'eath,Female,New Zeland,Alaska Native
Dickie,Peddar,Male,Hungarian,Costa Rican
Hobey,Noad,Male,Hungarian,Uruguayan
Gael,Swadlen,Male,Bulgarian,Ecuadorian
Roseanne,Pimerick,Female,Afrikaans,NHPI
Bernelle,Cropp,Female,Ndebele,Navajo
Roselia,Nolder,Female,Haitian Creole,Paraguayan
Ernie,Bloomer,Male,Armenian,Kiowa
Shelby,Hampshaw,Male,Albanian,Samoan
Kermit,Catlow,Male,Czech,Japanese
Tybie,McCurlye,Female,Icelandic,Fijian
Loretta,Parradye,Female,Japanese,Pima
Arlee,Chastenet,Female,Chinese,Colombian
Hill,Beal,Male,Dari,Potawatomi
Adolph,Lillecrap,Male,Sotho,Pakistani
Bambie,Risdale,Female,Hebrew,Iroquois
Leelah,Haps,Female,Kurdish,Yaqui
Lorette,Possa,Female,Dutch,African American
Taryn,McArthur,Female,Japanese,Cheyenne
Kendell,Roderham,Male,Hindi,Menominee
Gary,Soughton,Male,Malagasy,Chippewa
El,O'Scanlan,Male,Icelandic,Fijian
Ethelind,Silkston,Female,Sotho,Bangladeshi
Duffie,Donaghie,Male,Luxembourgish,Peruvian
Cati,Yokel,Female,Finnish,Vietnamese
Leif,Champain,Male,Amharic,Yakama
Viv,Storms,Female,Albanian,Spaniard
Darline,Clurow,Female,German,Colville
Roddy,Cluely,Male,Icelandic,Yakama
Beitris,Priscott,Female,French,Bolivian
Rickie,Authers,Male,Indonesian,Cree
Papageno,Kinsman,Male,Romanian,Argentinian
Gonzales,Kmietsch,Male,Kazakh,NHPI
Dalis,Tingly,Male,Yiddish,Dominican
Christian,Camosso,Male,Filipino,Venezuelan
Maximilianus,Scholler,Male,Polish,Japanese
Jarib,Hurich,Male,Norwegian,Filipino
Melitta,Woolmington,Female,German,Thai
Morganica,Goburn,Female,Sotho,Apache
Milzie,Woolforde,Female,Somali,Tongan
Jervis,Frigot,Male,German,NHPI
Trixy,Pitceathly,Female,Korean,American Indian
Hyacintha,McQuarrie,Female,New Zeland,Alaska Native
Fayette,Eldon,Female,Czech,Pueblo
Erie,Huard,Male,Kannada,Micronesian
Kincaid,Brennen,Male,Nepali,Taiwanese
Issie,Guly,Female,Dzongkha,Puget Sound Salish
Milt,Groveham,Male,Estonian,Malaysian
Eduino,McCay,Male,Irish Gaelic,Chamorro
Del,Peatheyjohns,Male,Hindi,Costa Rican
Caye,Shevels,Female,Azeri,Osage
Giavani,Kneeland,Male,Indonesian,Kiowa
Lewes,Masarrat,Male,Khmer,Pima
Alie,Pococke,Female,Haitian Creole,South American
Adda,Cashley,Female,Tsonga,Melanesian
Consolata,Schlag,Female,Kannada,Osage
Liane,Emerton,Female,Thai,Chickasaw
Marcia,Crush,Female,Yiddish,Micronesian
Linnet,Maharey,Female,Georgian,Laotian
Becky,Binton,Female,Bosnian,Blackfeet
Milicent,Jarret,Female,Zulu,Bangladeshi
Lynelle,Troucher,Female,Italian,White
Shayna,Connochie,Female,Thai,Peruvian
Cassie,Napoleon,Female,Gujarati,Potawatomi
Dyann,Stonuary,Female,Kannada,Lumbee
Gardie,Iacovolo,Male,Afrikaans,Cambodian
Balduin,Spinley,Male,Catalan,Choctaw
Hy,Strange,Male,Tamil,Cree
Sharleen,Sambiedge,Female,Dzongkha,Malaysian
Jourdain,Yearnsley,Male,Persian,Japanese
Nils,Southorn,Male,Tajik,Guatemalan
Belinda,Hiland,Female,Kashmiri,Yaqui
Florri,Lampen,Female,Danish,Cree
Oren,Drache,Male,Assamese,African American
Dulce,Caltun,Female,English,Yakama
Gil,Aitchison,Male,Latvian,Panamanian
Natividad,Fells,Female,Korean,Iroquois
Errol,Hellyer,Male,Swati,Pueblo
Herman,Skippon,Male,German,Cheyenne
Lynea,Harbottle,Female,Pashto,Ecuadorian
Sarajane,Osan,Female,Bulgarian,Colombian
Abner,Wringe,Male,Spanish,Puerto Rican
Dalila,Timmons,Female,Māori,NHPI
Nikolos,Ewing,Male,Norwegian,Honduran
Giacomo,Blankley,Male,Norwegian,Panamanian
Araldo,Scintsbury,Male,Chinese,Sri Lankan
Eugenie,Lobley,Female,Oriya,Puerto Rican
Angeli,Sweating,Male,Kurdish,Menominee
Britt,Sherwood,Female,Irish Gaelic,Taiwanese
Verla,Houseago,Female,Dutch,Taiwanese
Alexia,Jacobovitz,Female,Catalan,Pakistani
Jarrod,Franzel,Male,Kyrgyz,American Indian
Bald,Marthen,Male,French,Delaware
Clifford,Taw,Male,Armenian,Panamanian
Bear,Wallwork,Male,Finnish,Comanche
Imojean,Giddens,Female,German,Spaniard
Toma,Acres,Female,Khmer,Menominee
Rivalee,McCallion,Female,Pashto,Cherokee
Elie,Northing,Female,Northern Sotho,Samoan
Wilt,Zelake,Male,Dutch,Houma
Barbara,Digg,Female,Lao,Tongan
Cobbie,Panons,Male,Khmer,Pima
Bram,Kinvig,Male,Kashmiri,Colombian
Tallie,Writer,Female,Polish,Filipino
Cord,Summerlad,Male,German,Tongan
Latia,Cominello,Female,Telugu,Argentinian
Wolf,Lyston,Male,New Zeland,Paraguayan
Karen,Derham,Female,New Zeland,NHPI
Nicolais,Carslake,Male,Maltese,Asian Indian
Tine,Yegorkin,Female,Yiddish,Bolivian
Haily,Brumbie,Female,Oriya,Uruguayan
Rhys,Staveley,Male,Lithuanian,Cuban
Etta,Blodgett,Female,Pashto,Shoshone
Rab,Van der Kruijs,Male,Georgian,White
Prisca,Fiveash,Female,Kyrgyz,Peruvian
Wiatt,Askem,Male,Quechua,Yakama
Jenine,Dyett,Female,Japanese,Puget Sound Salish
Tammara,Knipe,Female,Amharic,Seminole
Perceval,Billingham,Male,Japanese,Paraguayan
Claudine,Duhig,Female,Finnish,Guatemalan
Justino,Josipovitz,Male,Swedish,African American
Kiah,Snawdon,Female,Swati,Chinese
Krysta,McCafferky,Female,Māori,Taiwanese
Laverna,Portlock,Female,Telugu,Fijian
Odie,Beynkn,Male,Icelandic,AIAN
Camellia,Plampin,Female,Romanian,Pueblo
Paquito,Eagling,Male,Greek,Ute
Joni,Stopps,Female,Icelandic,Mexican
Anallese,Cobbledick,Female,Khmer,AIAN
Jordana,Ortner,Female,Burmese,Comanche
Lucilia,Cockerill,Female,Lithuanian,Argentinian
Gilligan,Potteridge,Female,Bislama,Cambodian
Desirae,Poulsum,Female,Georgian,Samoan
Frankie,Spens,Female,Irish Gaelic,Bolivian
Dolf,Marusik,Male,Afrikaans,Uruguayan
Haskel,Paulus,Male,Montenegrin,Cree
Belita,Allibon,Female,Kannada,Paraguayan
Cross,Larderot,Male,German,Tlingit-Haida
Goldy,Mailey,Female,Hebrew,Cheyenne
Sally,Hayman,Female,Dutch,Ecuadorian
Andreas,Leggin,Male,Pashto,Asian Indian
Vilma,Veal,Female,Yiddish,Osage
Curry,Cawthorne,Male,Tok Pisin,Panamanian
Jase,Sproston,Male,Hebrew,Asian Indian
Susann,Varga,Female,Telugu,Cuban
Phil,North,Female,Tajik,Yaqui
Charyl,Braunfeld,Female,Haitian Creole,Creek
Norry,Ruoss,Male,Indonesian,Iroquois
Clarey,De Maria,Female,Malayalam,AIAN
Nessi,Santry,Female,Albanian,Filipino
Cam,Blackbourn,Male,Dutch,American Indian
Berget,MacDonnell,Female,Gujarati,Korean
Roberto,Junes,Male,Bislama,Tlingit-Haida
Meriel,Langhor,Female,Dzongkha,Houma
Maurise,Lockley,Female,Japanese,Cuban
Owen,Matzel,Male,Thai,Osage
Brit,Aime,Male,Bislama,Potawatomi
Audi,Maulkin,Female,Macedonian,Paiute
Holly,Schule,Female,Aymara,Mexican
Ash,Skyppe,Male,Māori,African American
Orrin,Alywin,Male,Swati,Guatemalan
Carolan,Bloxsum,Female,Papiamento,Lumbee
Mitchael,Jaszczak,Male,Greek,Asian
Brandyn,Grix,Male,Macedonian,Bangladeshi
Erinn,Curd,Female,Moldovan,Pakistani
Edsel,Maplethorp,Male,West Frisian,Ecuadorian
Olly,Van Castele,Male,French,Panamanian
Jobie,MacLese,Female,Finnish,Tohono O'Odham
Genia,Bellew,Female,Chinese,Puerto Rican
Byram,Starie,Male,Korean,Eskimo
Dorris,Lawford,Female,Estonian,American Indian
Warde,Dumbelton,Male,Afrikaans,Tlingit-Haida
Bowie,Cargen,Male,German,Cree
Homer,Rosenblath,Male,Kashmiri,Ottawa
Vevay,Spurrior,Female,Gagauz,Yuman
Gui,Kirk,Female,Somali,Alaska Native
Garrot,Sedcole,Male,Hindi,Comanche
Salim,Eagland,Male,Indonesian,Menominee
Sandye,Bicheno,Female,Tswana,Choctaw
Gradeigh,Asp,Male,Portuguese,Puerto Rican
Eleonore,Mingaud,Female,Tsonga,Peruvian
Eldridge,Boumphrey,Male,Maltese,Bolivian
Perle,Blenkensop,Female,Ndebele,Guamanian
Tammy,Limerick,Female,Bislama,Honduran
Immanuel,Logie,Male,Tswana,Iroquois
Berta,Luff,Female,Maltese,Paraguayan
Nat,Scothorne,Male,Hiri Motu,Nicaraguan
Sascha,Strickett,Female,Thai,Yakama
Kipp,Godar,Female,Thai,Chinese
Candie,Sabater,Female,Georgian,Cherokee
Dirk,Loughton,Male,Pashto,Ottawa
Maurizio,Branno,Male,Luxembourgish,Potawatomi
Jacynth,Vaneev,Female,Gujarati,Vietnamese
Gertrudis,Zorro,Female,Mongolian,Alaskan Athabascan
Iorgos,McCrone,Male,Bulgarian,Chinese
Reade,Crysell,Male,Tamil,Ecuadorian
Daphne,Ruecastle,Female,Danish,Taiwanese
Willabella,Wahncke,Female,Guaraní,American Indian
Phillip,Wareing,Male,Tetum,Filipino
Si,Brunton,Male,Swedish,Hmong
Dante,Povey,Male,Malagasy,Puget Sound Salish
Eliza,Ciccottini,Female,Kurdish,Laotian
Jayme,Laffan,Female,Māori,Choctaw
Haven,Carnegie,Male,English,Shoshone
Jarvis,Slimme,Male,Tok Pisin,Dominican
Alidia,Dudden,Female,Korean,Osage
Ailbert,Dwine,Male,Marathi,American Indian
Winnie,Latimer,Male,Quechua,Puget Sound Salish
Arlina,Lethby,Female,Bosnian,Chamorro
Sutherland,McGurn,Male,Tsonga,Peruvian
Maxie,Rangeley,Male,Oriya,Crow
Gilbert,Hullock,Male,Montenegrin,Tlingit-Haida
Barde,Lodwick,Male,Estonian,Paiute
Wells,Farlham,Male,Kyrgyz,Central American
Bat,Arthan,Male,West Frisian,Uruguayan
Jamey,Dobrovsky,Male,Papiamento,Sioux
Meggie,Dawney,Female,West Frisian,Central American
Alfred,Falck,Male,Oriya,Melanesian
Penn,Covely,Male,Hindi,Crow
Patty,Usherwood,Female,Chinese,Argentinian
Demott,Rumming,Male,Punjabi,Salvadoran
Mahmoud,Gilders,Male,Kazakh,Panamanian
Gabriella,Infantino,Female,Latvian,Paraguayan
Murial,Munro,Female,Dhivehi,Paraguayan
Sansone,Jerschke,Male,Hiri Motu,Chilean
Dorie,Duffield,Male,Icelandic,Asian
Max,Miskelly,Male,Oriya,Cree
Nathan,Brevetor,Male,Catalan,Costa Rican
Reiko,Corcoran,Female,Polish,Samoan
Jason,Vince,Male,Assamese,Cheyenne
Lizabeth,Iles,Female,Portuguese,Bangladeshi
Vassili,Jehu,Male,Italian,Puget Sound Salish
Hamilton,Poolton,Male,Tajik,Tongan
Kristo,Kerwin,Male,Marathi,Tongan
Alvina,Huygen,Female,Kyrgyz,Paraguayan
Carr,Tilbrook,Male,Irish Gaelic,Kiowa
Daria,Grist,Female,Filipino,Fijian
Claudelle,Moorerud,Female,Kannada,Aleut
Jonathon,Conachie,Male,Nepali,Comanche
Neill,Bragg,Male,Irish Gaelic,Alaskan Athabascan
Ericka,Volonte,Female,Italian,Taiwanese
Jamison,Poppy,Male,Albanian,Creek
Ives,Priddey,Male,Italian,Chinese
Cchaddie,Hame,Male,Montenegrin,Melanesian
Kelsey,Brewin,Female,Kannada,Japanese
Ora,Sterricker,Female,Hindi,South American
Jeromy,Poles,Male,Guaraní,Cheyenne
Roda,Artindale,Female,Dhivehi,Pakistani
Alysia,A'Barrow,Female,Malagasy,Central American
Cedric,Achrameev,Male,Catalan,Tohono O'Odham
Archibald,Cranefield,Male,Dari,Shoshone
Lorne,Muddle,Female,Malay,White
Marmaduke,Rudolfer,Male,Catalan,Indonesian
Cheri,Cooling,Female,Haitian Creole,Eskimo
Opal,Voce,Female,Japanese,Filipino
Melosa,Jeroch,Female,Dutch,AIAN
Henriette,Pentland,Female,Spanish,Chilean
Mariam,Dummett,Female,Bosnian,Puget Sound Salish
Jaclyn,Curson,Female,Zulu,Navajo
Jerry,Colclough,Female,Italian,Native Hawaiian
Carie,Gronowe,Female,Oriya,Puget Sound Salish
Aloise,Knill,Female,Yiddish,Cuban
Humbert,Ferrillio,Male,Hebrew,Choctaw
Zebulon,Spinnace,Male,Polish,Aleut
Blondelle,Ludvigsen,Female,Malagasy,Japanese
Bobine,Ferrillio,Female,Belarusian,Vietnamese
Findlay,Aleksandrov,Male,Haitian Creole,Sioux
Cammie,Ghioni,Female,Bulgarian,Creek
Stanfield,Copeman,Male,Bislama,Aleut
Jonie,Gianetti,Female,Latvian,Asian Indian
Leroy,Fladgate,Male,Sotho,Shoshone
Nell,Camili,Female,Greek,Hmong
Bruis,Joutapavicius,Male,Kazakh,Chinese
Obadiah,Viggers,Male,Greek,Puerto Rican
Mylo,McInally,Male,Kazakh,African American
Austin,Capstack,Male,Arabic,Cambodian
Mitzi,Goodisson,Female,Lithuanian,Crow
Gaylene,Stretton,Female,Danish,Chilean
Clark,Oyley,Male,Kurdish,Yaqui
Cori,Boyat,Female,Estonian,Navajo
Rufe,Leynham,Male,Tajik,Bolivian
Dulciana,Smickle,Female,Belarusian,Kiowa
Kiele,Proudley,Female,Macedonian,NHPI
Dillie,Halfacree,Male,Arabic,Tlingit-Haida
Althea,Meadley,Female,Hindi,Paraguayan
Kizzee,O'Fallon,Female,Swahili,Indonesian
Brigitta,Maker,Female,Burmese,Spaniard
Cassandry,Bandiera,Female,Georgian,Bolivian
Rich,Jirsa,Male,Bengali,American Indian
Artemis,Lardez,Male,Telugu,Indonesian
Mollie,Jakeway,Female,Romanian,Thai
Sayre,Andrzejak,Female,Burmese,Kiowa
Bernie,Senner,Male,Finnish,Sioux
Othelia,Mc Caughan,Female,Telugu,Iroquois
Ray,Brachell,Female,Guaraní,Blackfeet
Abby,Derisley,Male,Tetum,Central American
Babs,Lucey,Female,Kazakh,Colombian
Penn,Chick,Male,Finnish,South American
Dickie,MacAvddy,Male,Somali,Japanese
Wynny,Pilgram,Female,Pashto,Malaysian
Roosevelt,Bothwell,Male,Catalan,Central American
Hodge,Iowarch,Male,Finnish,Thai
Rora,Jaze,Female,Bengali,Korean
